Feature;Description;Tag
nutritional interventions;cruciferous vegetables;Yes
surgery;cryosurgery;No
physical interventions;cryotherapy;Yes
other interventions;cryptotympana atrata;Yes
psychologic interventions;crystal heal;Yes
other interventions;cu;Yes
other interventions;cucumis melo;Yes
other interventions;cucurbita mos;Yes
other interventions;cucurbita moschata;Yes
physical interventions;cuffs;Yes
nutritional interventions;cultured milk products;Yes
other interventions;cuminum;Yes
other interventions;cuminum cyminum;Yes
other interventions;curculigo ensifolia;Yes
other interventions;curcuma;Yes
other interventions;curcuma aromatica;Yes
other interventions;curcuma kwangsinenssis;Yes
other interventions;curcuma longa;Yes
other interventions;curcuma phaeocaulis;Yes
other interventions;curcuma xanthorrhiza;Yes
other interventions;curcuma zedoaria;Yes
other interventions;curcumin;Yes
surgery;curettage;No
other interventions;cuscuta chinensis;Yes
other interventions;cuscuta indecora;Yes
other interventions;cuscuta japonica;Yes
other interventions;cyathula capitata;Yes
other interventions;cyathula officinalis;Yes
numerical interventions;cybertherapies;Yes
numerical interventions;cybertherapy;Yes
drug;cyclooxygenase;No
drug;cyclophosphamide;No
other interventions;cydonia sinensis;Yes
other interventions;cymbopogon citratus;Yes
other interventions;cynachum atratum;Yes
other interventions;cynachum welfordii;Yes
other interventions;cynachum  japonicum;Yes
other interventions;cynanchum bungei;Yes
other interventions;cynanchum paniculatum;Yes
other interventions;cynara scolymus;Yes
other interventions;cynomorium coccineum;Yes
other interventions;cynomorium songaricum;Yes
other interventions;cyperus rotundus;Yes
drug;cystatin;No
other interventions;cystone;Yes
medical examination;cytology;No
medical examination;cytoscopy;No
drug;cytosine arabinoside;No
other interventions;da cha ye;Yes
other interventions;da feng zi;Yes
other interventions;da fu pi;Yes
other interventions;da guo yu;Yes
other interventions;da ji;Yes
other interventions;da jiao hua;Yes
other interventions;da ma;Yes
other interventions;da mai  mai ya;Yes
other interventions;da mo li hua;Yes
other interventions;da suan;Yes
other interventions;da tian ji huang;Yes
other interventions;da xue teng;Yes
other interventions;da ye huang yang;Yes
other interventions;da ye zi wei;Yes
other interventions;da zao;Yes
drug;dacarbazine;No
other interventions;daemonorops draco;Yes
other interventions;dai zhe shi;Yes
other interventions;daidzein;Yes
other interventions;daikenchuto;Yes
nutritional interventions;daily supplement;Yes
nutritional interventions;daily supplementation;Yes
nutritional interventions;dairy products;Yes
other interventions;dan dou chi;Yes
other interventions;dan shen;Yes
other interventions;dan zi song guo ju;Yes
psychologic interventions;dance;Yes
psychologic interventions;dancing;Yes
other interventions;dandelion;Yes
other interventions;dang gui;Yes
other interventions;dang shen;Yes
other interventions;danshen;Yes
other interventions;dao di gong;Yes
other interventions;dao diing;Yes
other interventions;daphne genkwa;Yes
other interventions;datura stramonium;Yes
other interventions;daucus carota;Yes
drug;daunorubicin ;No
drug;decapeptyl;No
psychologic interventions;decision aid;Yes
psychologic interventions;decision make approach;Yes
psychologic interventions;decision making;Yes
psychologic interventions;decision support;Yes
drug;decitabine;No
other interventions;decoction;Yes
physical interventions;deep breathe;Yes
physical interventions;deep water run;Yes
physical interventions;deep water running;Yes
medical examination;dematoscopy;No
other interventions;dendranthema grandiflora;Yes
other interventions;dendranthema morifolium;Yes
other interventions;dendrobium moniliorme;Yes
other interventions;dendrobium nobile;Yes
other interventions;deng xin cao;Yes
drug;denileukin diffitox;No
drug;denozumab;No
psychologic interventions;dental hypnosis;Yes
drug;deoxydoxorubicin;No
other interventions;desensitization psychologic;Yes
other interventions;desmodium adscendens;Yes
other interventions;desmodium gangeticum;Yes
other interventions;desmodium gangeticum extract;Yes
drug;desmopressin;No
medical examination;detection;No
nutritional interventions;detoxification;Yes
numerical interventions;device therapy;Yes
other interventions;devil have claw;Yes
drug;dexamethasone;No
drug;dexrazoxane;No
nutritional interventions;dexrazoxane supplementation;Yes
drug;dexverapamil;No
other interventions;di bie chong;Yes
other interventions;di dan cao;Yes
other interventions;di fu zi;Yes
other interventions;di gu pi;Yes
other interventions;di huang;Yes
other interventions;di jin cao;Yes
other interventions;di long;Yes
other interventions;di yu;Yes
nutritional interventions;diabetic diet;Yes
medical examination;diagnosis;No
numerical interventions;diagnosis computer assisted;Yes
psychologic interventions;dialectical behavior therapy;Yes
drug;dianhydrogalactitol;No
other interventions;dianthus superbus;Yes
other interventions;dichroa febrifuga;Yes
other interventions;dicksonia barometz;Yes
other interventions;dictamnus albus;Yes
other interventions;dictamnus dasycarpus;Yes
psychologic interventions;didactic information;Yes
psychologic interventions;didactic teaching;Yes
drug;didemnin b;No
nutritional interventions;diet;Yes
nutritional interventions;diet therapy;Yes
nutritional interventions;dietary;Yes
nutritional interventions;dietary advice;Yes
nutritional interventions;dietary approach;Yes
nutritional interventions;dietary approaches;Yes
nutritional interventions;dietary approaches to stop hypertension;Yes
nutritional interventions;dietary arginine;Yes
nutritional interventions;dietary assessment;Yes
nutritional interventions;dietary behaviors;Yes
nutritional interventions;dietary carbohydrates;Yes
nutritional interventions;dietary change;Yes
nutritional interventions;dietary component;Yes
nutritional interventions;dietary counselling;Yes
nutritional interventions;dietary education;Yes
nutritional interventions;dietary fat;Yes
nutritional interventions;dietary fat reduction;Yes
nutritional interventions;dietary fats;Yes
nutritional interventions;dietary fats unsaturated;Yes
nutritional interventions;dietary fiber;Yes
nutritional interventions;dietary habit;Yes
nutritional interventions;dietary intake;Yes
nutritional interventions;dietary intervention;Yes
nutritional interventions;dietary meat;Yes
nutritional interventions;dietary pattern;Yes
nutritional interventions;dietary patterns;Yes
nutritional interventions;dietary program;Yes
nutritional interventions;dietary recommendations;Yes
nutritional interventions;dietary restrictions;Yes
nutritional interventions;dietary supplement;Yes
nutritional interventions;dietary supplementation;Yes
nutritional interventions;dietary supplements;Yes
nutritional interventions;dietary synbiotic;Yes
nutritional interventions;dietary vitamin;Yes
nutritional interventions;dietaty folate;Yes
nutritional interventions;dietetics;Yes
drug;diethylhomospermine;No
nutritional interventions;dietitian care;Yes
nutritional interventions;diets;Yes
other interventions;diffuse noxious inhibitory;Yes
drug;difluoromethylornithine;No
other interventions;digenia simplex;Yes
numerical interventions;digital health intervention;Yes
other interventions;dimethylamylamine;Yes
other interventions;ding xiang;Yes
physical interventions;dining aids;Yes
other interventions;dioscorea;Yes
other interventions;dioscorea batatas;Yes
other interventions;dioscorea bulbifera;Yes
other interventions;dioscorea collettii;Yes
other interventions;dioscorea guingueloba;Yes
other interventions;dioscorea nipponica;Yes
other interventions;dioscorea parviflora;Yes
other interventions;dioscorea tokoro;Yes
other interventions;diospyros chinensis;Yes
other interventions;diospyros kaki;Yes
drug;dioxatet;No
other interventions;dipsacus asper;Yes
other interventions;dipsacus chinensis;Yes
other interventions;dipterocarpus turbinatus;Yes
drug;dipyridamol;No
drug;dipyridamole;No
other interventions;directive counseling;Yes
other interventions;disodium tetraborate;Yes
surgery;dissection;No
other interventions;distill oil;Yes
other interventions;dmaa;Yes
other exclusion words;dna;No
other exclusion words;dna damage;No
drug;docetaxel;No
nutritional interventions;docosahexaenoic acid supplementation;Yes
psychologic interventions;dog;Yes
psychologic interventions;dogs;Yes
drug;dolasetron;No
drug;dolastatin 10;No
other interventions;dolichos lablab;Yes
drug;domperidone;No
nutritional interventions;donepezil;Yes
other interventions;dong bei ku xing ren;Yes
other interventions;dong Cchuang xiong;Yes
other interventions;dong chong xia cao;Yes
other interventions;dong gu;Yes
other interventions;dong gua pi;Yes
other interventions;dong gua ren ;Yes
other interventions;dong gua zi;Yes
other interventions;dong kui zi;Yes
other interventions;dong ling cao;Yes
radiotherapy;dose escalading;No
radiotherapy;dose escalation;No
drug;dotaxel;No
other interventions;dou ban mao;Yes
other interventions;dou shu;Yes
physical interventions;double chin;Yes
physical interventions;dowse;Yes
drug;doxifluridine;No
drug;doxil;No
drug;doxitaxel;No
drug;doxorubicin;No
other interventions;draba nemorosa;Yes
physical interventions;drainage;Yes
physical interventions;drainage postural;Yes
nutritional interventions;dried yeast;Yes
nutritional interventions;drinking;Yes
drug;droloxifene;No
drug;drug ;No
other interventions;drymoglossum microphyllum;Yes
other interventions;drynaria frotunei;Yes
other interventions;dryobalanops aromatica;Yes
other interventions;dryobalanops camphora;Yes
other interventions;dryopteris crassirhizoma;Yes
drug;dtic;No
other interventions;du huo;Yes
other interventions;du xing caii;Yes
other interventions;du zhong;Yes
other interventions;duan ye hong dou shan;Yes
nutritional interventions;dukan diet;Yes
other interventions;duo hua fan ying tao ye;Yes
other interventions;durio zibethinus;Yes
drug;durvalumab;No
other interventions;e cigarette;Yes
numerical interventions;e health;Yes
numerical interventions;e health device;Yes
other interventions;e jiao;Yes
numerical interventions;e support program;Yes
other interventions;e zhang teng;Yes
other interventions;e zhu;Yes
other interventions;e zui hua;Yes
physical interventions;ear acupuncture;Yes
medical examination;early detection;No
nutritional interventions;early oral feeding;Yes
nutritional interventions;eat as;Yes
other interventions;echinacea;Yes
other interventions;echinacea angustifolia;Yes
other interventions;echinacea pallida;Yes
other interventions;echinacea purpurea;Yes
other interventions;echinacin;Yes
other interventions;echium;Yes
other interventions;eclecticism historical;Yes
other interventions;eclipta prostrata;Yes
psychologic interventions;ecopsychosocial intervention;Yes
psychologic interventions;educate nurse;Yes
other interventions;education;Yes
numerical interventions;educational technology;Yes
drug;efaproxiral;No
drug;eftriaxone;No
nutritional interventions;eggs;Yes
other interventions;eguisetum hyemale;Yes
numerical interventions;ehealth;Yes
other interventions;eheum officinale;Yes
nutritional interventions;eicosanoids;Yes
nutritional interventions;eicosapentaenoic acid;Yes
other interventions;elaphe taeniura;Yes
nutritional interventions;elderberry;Yes
other interventions;electric stimulation;Yes
other interventions;electrical nerve stimulation;Yes
physical interventions;electroacupuncture;Yes
medical examination;electroencephalography;No
other interventions;electrohomeopathy;Yes
other interventions;electromagnetic therapy;Yes
physical interventions;electromyostimulation;Yes
physical interventions;electronic activity monitor;Yes
other interventions;electronic cigarette;Yes
numerical interventions;electronic nicotine delivery systems;Yes
physical interventions;electrotherapy;Yes
nutritional interventions;elemental diet;Yes
other interventions;eleocharis dulcis;Yes
other interventions;elettaria cardamomum;Yes
other interventions;eleutherococcus senticosus;Yes
drug;elsamitrucin;No
other interventions;elscholtzia patrini;Yes
other interventions;embelia oblongfolia;Yes
physical interventions;emdr;Yes
drug;emetine;No
psychologic interventions;emotion regulation;Yes
psychologic interventions;emotional;Yes
psychologic interventions;emotive therapy;Yes
invasive treatment;endomyocardial injection;No
invasive treatment;endomyocardial injections;No
medical device;endoprothese;No
medical examination;endoscopic;No
physical interventions;endurance train;Yes
physical interventions;endurance training;Yes
nutritional interventions;energy drink;Yes
nutritional interventions;energy drinks;Yes
nutritional interventions;energy intake;Yes
other interventions;energy medicine;Yes
psychologic interventions;energy psychology;Yes
other interventions;energy shock wave;Yes
other interventions;energy therapy;Yes
other interventions;enhance recovery after surgery;Yes
drug;enoxaparine;No
medical device;enteral;No
invasive treatment;enteral formula;No
drug;enzastaurin;No
other interventions;ephedra;Yes
other interventions;ephedra distachya;Yes
other interventions;ephedra equisetina;Yes
other interventions;ephedra intermedia;Yes
other interventions;ephedra sinica;Yes
other interventions;ephedrine alkaloid;Yes
other interventions;epicantha gorhami;Yes
drug;epidoxorubicin;No
other interventions;epimedium mac;Yes
other interventions;epimedium macranthum;Yes
other interventions;epimedium sagittatum;Yes
drug;epinephrine;No
other interventions;epiphyllum oxypetalum;Yes
drug;epirubicin;No
drug;epoetin;No
drug;epratuzumab;No
other interventions;equisetum arvense;Yes
physical interventions;ergometers;Yes
numerical interventions;ergonomic tool;Yes
other interventions;erigeron sumatrensis;Yes
other interventions;eriobotrya japonica;Yes
drug;erlotinib;No
other interventions;erythrina variegata;Yes
drug;erythropoietin;No
drug;eshap;No
nutritional interventions;essential fatty acids;Yes
other interventions;essential oil;Yes
other interventions;essex lotion;Yes
drug;estramustine;No
nutritional interventions;estrogen plant;Yes
other interventions;ethereal oil;Yes
drug;etoposide;No
other interventions;eucalptus globulus;Yes
other interventions;eucalyptus;Yes
other interventions;euchresta japonica;Yes
other interventions;eugenia aromatica;Yes
other interventions;eugenia caryophyllata;Yes
other interventions;euonymus japonicus;Yes
other interventions;euonymus ulmoides;Yes
other interventions;eupatorium fortunei;Yes
other interventions;eupatorium lindleyanum;Yes
other interventions;euphorbia fischeriana;Yes
other interventions;euphorbia humifusa;Yes
other interventions;euphorbia kansui;Yes
other interventions;euphorbia lathyris;Yes
other interventions;euphorbia pekinensis;Yes
other interventions;euphorbia sieboldiana;Yes
other interventions;euphoria longan laam;Yes
other interventions;eupolyphaga sinensis;Yes
other interventions;euryale ferox;Yes
other interventions;eurycoma longifolia;Yes
other interventions;even primrose;Yes
physical interventions;every day activity;Yes
other interventions;evodia rutaecarpa;Yes
other interventions;evolvulus alsinoides;Yes
surgery;excision;No
drug;exemestane;No
physical interventions;exercise;Yes
physical interventions;exercise bars;Yes
physical interventions;exercise table;Yes
drug;exisulind;No
physical interventions;experimental intervention;Yes
physical interventions;expressive write intervention;Yes
physical interventions;expressive writing;Yes
physical interventions;extracorporeal shockwave therapy;Yes
other interventions;extract cream;Yes
other interventions;extract mixture;Yes
physical interventions;eye movement;Yes
physical interventions;eye movements;Yes
other interventions;fa feng gan;Yes
physical interventions;facial morph intervention;Yes
physical interventions;facial morph program;Yes
nutritional interventions;fads diet;Yes
other interventions;fagara ailanthoides;Yes
other interventions;fagara schinifolia;Yes
other interventions;fagopyrum esculentum;Yes
other interventions;fagopyrum vulgare;Yes
psychologic interventions;faith heal;Yes
psychologic interventions;faith healing;Yes
physical interventions;fall prevention program;Yes
other interventions;family education;Yes
other interventions;family nursing;Yes
other interventions;fan hong hua;Yes
other interventions;fan mu bie;Yes
other interventions;fan mu gua;Yes
other interventions;fan shiiu;Yes
other interventions;fang feng;Yes
other interventions;fang ge xing chong;Yes
other interventions;fang ji;Yes
drug;farnesyltransferase inhibitor;No
nutritional interventions;fasting;Yes
nutritional interventions;fat diet;Yes
nutritional interventions;fat diets;Yes
nutritional interventions;fat intake;Yes
nutritional interventions;fat restricted;Yes
other interventions;fatigue reduction;Yes
nutritional interventions;fatty acid;Yes
nutritional interventions;fatty acids;Yes
invasive treatment;feces collection paper;No
nutritional interventions;feed behavior;Yes
psychologic interventions;feedback sensory;Yes
nutritional interventions;feeding behavior;Yes
other interventions;fei zi;Yes
other interventions;feiji;Yes
other interventions;feitai;Yes
physical interventions;feldenkrais method;Yes
other interventions;feng che cao;Yes
other interventions;feng huang jiang;Yes
other interventions;feng jiao;Yes
other interventions;feng mi;Yes
other interventions;feng wei cao;Yes
other interventions;feng xian hua;Yes
drug;fenretinide;No
other interventions;fenugreek;Yes
other interventions;ferrous sulfate heptahydrate;Yes
other interventions;feverfew;Yes
nutritional interventions;fiber diet;Yes
medical examination;fibre optic;No
other interventions;ficus carica;Yes
other interventions;ficus hirta;Yes
other interventions;ficus simplicissima;Yes
drug;filgramstim;No
drug;filgrastim;No
physical interventions;finger mitts;Yes
nutritional interventions;fish oil;Yes
nutritional interventions;fish oils;Yes
numerical interventions;fitness trackers;Yes
other interventions;flammulina velutipes;Yes
drug;flavopiridol;No
other interventions;flax;Yes
other interventions;flaxseed;Yes
other interventions;flemingia philippinensis;Yes
medical examination;flexible sigmoidoscopy screening;No
other interventions;flower essence;Yes
other interventions;flower essences;Yes
drug;flucarabine;No
drug;fluconazole;No
drug;fludarabine;No
drug;flutamide;No
other interventions;fo sang hua;Yes
other interventions;fo shou;Yes
other interventions;foeniculum vulgare;Yes
other interventions;folate acid;Yes
nutritional interventions;folate garlic;Yes
nutritional interventions;folate intake;Yes
nutritional interventions;folate supplement;Yes
nutritional interventions;folate supplementation;Yes
drug;folenic acid;No
drug;folfiri;No
drug;folfori;No
drug;folfox4;No
nutritional interventions;folic acid;Yes
nutritional interventions;follow oral supplement;Yes
nutritional interventions;food;Yes
nutritional interventions;food drug interactions;Yes
physical interventions;foot orthosis;Yes
physical interventions;foot reflexology;Yes
physical interventions;football;Yes
physical interventions;forced expiratory volume;Yes
psychologic interventions;forests;Yes
other interventions;forsythia supensa;Yes
nutritional interventions;fortified;Yes
nutritional interventions;fortified food;Yes
other interventions;fossilia ossis;Yes
drug;fotemustine;No
other interventions;frangula alnus;Yes
other interventions;fraxinus bungeana;Yes
other interventions;fraxnius japonica;Yes
other interventions;freedent;Yes
other interventions;fritillaria callicola;Yes
other interventions;fritillaria roylei;Yes
other interventions;fritillaria thumberglii;Yes
other interventions;fritillaria verticillata;Yes
other interventions;fructo oligosaccharides;Yes
other interventions;fructus bruceae;Yes
invasive treatment;fructus brucease injection;No
other interventions;fructus crataegi;Yes
other interventions;fructus lycii;Yes
nutritional interventions;fruit;Yes
nutritional interventions;fruit juices;Yes
other interventions;frutescens;Yes
drug;ftorafur;No
other interventions;fu bi;Yes
other interventions;fu ling;Yes
other interventions;fu long gan;Yes
other interventions;fu pen zi;Yes
other interventions;fu ping;Yes
other interventions;fu sang hua;Yes
other interventions;fu shou cao;Yes
other interventions;fu xiao mai;Yes
other interventions;fu zi;Yes
other interventions;fuchunpian;Yes
other interventions;fucoidan;Yes
other interventions;fucoidanin;Yes
drug;fufox;No
other interventions;fungi;Yes
other interventions;fuzheng;Yes
other interventions;fuzheng guben;Yes
other interventions;fuzheng huayu;Yes
other interventions;fuzheng yiliu;Yes
other interventions;fuzhenghuayu;Yes
drug;gadodiamide;No
drug;gadopentetate dimeglumine;No
physical interventions;gait therapy;Yes
other interventions;galium aparine;Yes
other interventions;gallus gallus domesticus;Yes
numerical interventions;game;Yes
drug;gamma interferon;No
other interventions;gamma tocopherol;Yes
other interventions;gan;Yes
other interventions;gan cao;Yes
other interventions;gan chi;Yes
other interventions;gan shu;Yes
other interventions;gan sui;Yes
other interventions;gan yan cao;Yes
other interventions;gan zhe shao;Yes
other interventions;gang mei;Yes
other interventions;gang nian gen;Yes
other interventions;gang song;Yes
other interventions;ganji;Yes
other interventions;ganoderma lucidum;Yes
other interventions;gao ben;Yes
other interventions;gao liang jiang;Yes
other interventions;garcinia atroviridis;Yes
physical interventions;garden therapy;Yes
other interventions;gardenia florida;Yes
other interventions;gardenia jasminoides;Yes
physical interventions;gardening;Yes
other interventions;garlic;Yes
other interventions;gastrodia elata;Yes
other interventions;ge gen;Yes
other interventions;ge jie;Yes
other interventions;ge zao mi hou tao;Yes
nutritional interventions;gefarnate;Yes
drug;gefitinib;No
drug;gelfoam;No
other interventions;gelsemium elegans;Yes
other interventions;gelsemium sempervirens;Yes
drug;gemcitabine;No
other exclusion words;gene;No
other exclusion words;gene transcripts;No
other interventions;genetic counseling;Yes
other interventions;genetic counselor;Yes
drug;genexol pm;No
other interventions;geng mi;Yes
nutritional interventions;genistein;Yes
other interventions;gentian violet;Yes
other interventions;gentiana macrophyllia;Yes
other interventions;gentiana scabra;Yes
physical interventions;gentle massage;Yes
physical interventions;gentle touch;Yes
physical interventions;gentle yoga;Yes
other interventions;geranium wilfordii;Yes
other interventions;german new medicine;Yes
other interventions;ginger;Yes
other interventions;gingko biloba;Yes
other interventions;ginkgo biloba;Yes
other interventions;ginseng;Yes
other interventions;ginsenoside;Yes
other interventions;glechoma longituba;Yes
other interventions;gleditschia horrida;Yes
other interventions;gleditsia sinensis;Yes
physical interventions;gloves;Yes
nutritional interventions;glucosamine;Yes
nutritional interventions;glucosinolates;Yes
nutritional interventions;glutamine;Yes
nutritional interventions;gluten free;Yes
other interventions;glycyrrhiza;Yes
other interventions;glycyrrhiza glabra;Yes
other interventions;glycyrrhizin;Yes
other interventions;goldenseal;Yes
physical interventions;golf;Yes
drug;gonadotropin;No
drug;gonadotropin granulocyte colony stimulating factor;No
physical interventions;goniometers;Yes
drug;gossypol;No
other interventions;gotu kola;Yes
other interventions;gou er cha;Yes
other interventions;gou ji;Yes
other interventions;gou qi zi;Yes
other interventions;gou teng;Yes
other interventions;gou wen;Yes
other interventions;gou zhua dou;Yes
surgery;grafting;No
nutritional interventions;grains;Yes
drug;granulocyte colony;No
other interventions;grape seed;Yes
nutritional interventions;grapefruit;Yes
other interventions;graptopetalum paraguayense;Yes
psychologic interventions;green space exposure;Yes
nutritional interventions;green tea;Yes
psychologic interventions;grief therapy;Yes
other interventions;grifola;Yes
psychologic interventions;group counsel;Yes
psychologic interventions;group intervention;Yes
psychologic interventions;group psychotherapy;Yes
psychologic interventions;group therapy;Yes
psychologic interventions;group visit;Yes
other interventions;gu po yu;Yes
other interventions;gu sui bu;Yes
other interventions;gu ya;Yes
other interventions;gua di;Yes
other interventions;gua lou;Yes
other interventions;gua lou ren;Yes
other interventions;gua lou zi;Yes
other interventions;gua lou tian hua fen;Yes
other interventions;gua sha;Yes
other interventions;guan ye lian qiao;Yes
other interventions;guan zhong;Yes
other interventions;guang ye bai tou weng;Yes
other interventions;Guangxi e zhu;Yes
other interventions;guarana;Yes
other interventions;guben yiliu;Yes
other interventions;gui;Yes
other interventions;gui ban;Yes
other interventions;gui jiu;Yes
other interventions;gui zhen cao;Yes
other interventions;gui zhi;Yes
psychologic interventions;guide imagery;Yes
other interventions;guliu;Yes
other interventions;guo jiang long;Yes
other interventions;guo shan xiang;Yes
physical interventions;gymnastics;Yes
other interventions;gymnema sylvestre;Yes
other interventions;gynostemma pentaphyllum;Yes
other interventions;gynura pinnatifida;Yes
other interventions;gynura segetum;Yes
other interventions;haematitum;Yes
other interventions;hai di ye;Yes
other interventions;hai er cha;Yes
other interventions;hai feng teng;Yes
other interventions;hai jin sha;Yes
other interventions;hai long;Yes
other interventions;hai ren cao;Yes
other interventions;hai tong;Yes
other interventions;hai tong pi;Yes
other interventions;hai zao;Yes
other interventions;hai zhou chang shan;Yes
physical interventions;hair salon;Yes
other interventions;haliotis asinina;Yes
other interventions;haliotis gigantea;Yes
other interventions;halitotis gigatea;Yes
other interventions;halitum;Yes
other interventions;halloysite;Yes
other interventions;halogeton arachnoideus;Yes
other interventions;han fang ji;Yes
other interventions;han ke cao;Yes
other interventions;han lian cao;Yes
other interventions;han san qi;Yes
other interventions;han shui shi;Yes
physical interventions;hand bars;Yes
physical interventions;hand hygiene;Yes
physical interventions;hand reflexology;Yes
numerical interventions;handle device;Yes
other interventions;hange shashinto;Yes
surgery;harmonic scalpel;No
other interventions;harpagophytum;Yes
other interventions;harpagoside;Yes
other interventions;hatha;Yes
physical interventions;hawaiian massage;Yes
other interventions;he chang shan;Yes
other interventions;he guo teng;Yes
other interventions;he huan pi;Yes
other interventions;he shi;Yes
other interventions;he shou wu;Yes
other interventions;he ye;Yes
other interventions;he zi;Yes
other interventions;heal;Yes
other interventions;healer;Yes
other interventions;health behavior;Yes
other interventions;health claim;Yes
other interventions;health counsel;Yes
other interventions;health education;Yes
other interventions;health knowledge;Yes
other interventions;health knowledge attitudes practice;Yes
other interventions;health message;Yes
other interventions;health prevention;Yes
other interventions;health promotion;Yes
other interventions;health record reminder;Yes
nutritional interventions;healthy diet;Yes
nutritional interventions;healthy eat program;Yes
psychologic interventions;heat therapy;Yes
other interventions;hedera helix;Yes
other interventions;hedera helix ;Yes
other interventions;hei ma yi;Yes
other interventions;hei mu er;Yes
other interventions;hei zhong cao zi;Yes
other interventions;helianthus annuus;Yes
other interventions;helichrysum italicum;Yes
other interventions;heliotherapy;Yes
drug;hemocyanin;No
other interventions;heng zhou wu yao;Yes
drug;heparin;No
other interventions;heracleum lanatum;Yes
other interventions;herb;Yes
other interventions;herbal;Yes
nutritional interventions;herbal teas;Yes
other interventions;herbalism;Yes
other interventions;herbology;Yes
drug;herceptin;No
other interventions;herminium lanceum;Yes
other interventions;herpestis monniera;Yes
nutritional interventions;hesperidin;Yes
other interventions;hi hu;Yes
other interventions;hibiscus manihot ;Yes
other interventions;hibiscus mutabilits;Yes
other interventions;hibiscus rosa sinensis;Yes
other interventions;hibiscus sabdariffa;Yes
other interventions;hibiscus syriacus;Yes
radiotherapy;high dose;No
radiotherapy;high dose rate;No
physical interventions;hiit;Yes
psychologic interventions;hippotherapies;Yes
psychologic interventions;hippotherapy;Yes
medical examination;histological;No
medical examination;histologically;No
medical examination;histology;No
psychologic interventions;historical eclecticism;Yes
physical interventions;hockey;Yes
psychologic interventions;hold record;Yes
other interventions;holistic health;Yes
other interventions;holistic medicine;Yes
other interventions;homalomena occulta;Yes
physical interventions;home base exercise;Yes
physical interventions;home care intervention;Yes
physical interventions;home nurse care;Yes
other interventions;home remedy;Yes
physical interventions;home visit;Yes
physical interventions;homecare program;Yes
other interventions;homeopathy;Yes
other interventions;honey;Yes
other interventions;hong dou kou;Yes
other interventions;hong han lian;Yes
other interventions;hong hua;Yes
other interventions;hong jing tian;Yes
other interventions;hong niang zi;Yes
other interventions;hong pi liu;Yes
other interventions;hong teng;Yes
other interventions;hoodia;Yes
other interventions;hoodia gordonii;Yes
psychologic interventions;hope group;Yes
psychologic interventions;hope program;Yes
other interventions;hordeum sativum;Yes
psychologic interventions;horse therapy;Yes
physical interventions;horticultural therapy;Yes
physical interventions;hortitherapies;Yes
physical interventions;hortitherapy;Yes
other interventions;hosta plantaginea;Yes
other interventions;hou po;Yes
other interventions;houttuynia cordata;Yes
physical interventions;hrpf;Yes
other interventions;hu die xian ren zhang;Yes
other interventions;hu dou;Yes
other interventions;hu er cao;Yes
other interventions;hu gu;Yes
other interventions;hu huang liang;Yes
other interventions;hu jiao;Yes
other interventions;hu lo fu;Yes
other interventions;hu lu ba;Yes
other interventions;hu ma;Yes
other interventions;hu ma ren;Yes
other interventions;hu po;Yes
other interventions;hu sui;Yes
other interventions;hu tao;Yes
other interventions;hu zhang;Yes
other interventions;hua qi shen;Yes
other interventions;hua shi;Yes
other interventions;hua shu pi;Yes
other interventions;huai hua;Yes
other interventions;huai jiao;Yes
other interventions;huai mi;Yes
other interventions;huai qing di huang;Yes
other interventions;huang;Yes
other interventions;huang bai;Yes
other interventions;huang fen chong;Yes
other interventions;huang hua hao;Yes
other interventions;huang jing;Yes
other interventions;huang lian;Yes
other interventions;huang qi;Yes
other interventions;huang qin;Yes
other interventions;huang shu kui;Yes
other interventions;huang shui qie;Yes
other interventions;huang yao zi;Yes
other interventions;huazhuo jiedu;Yes
other interventions;huechys philaemata;Yes
other interventions;huechys sanguinea;Yes
other interventions;hui hao;Yes
other interventions;hui peng;Yes
numerical interventions;humanoid robot;Yes
psychologic interventions;humor therapy;Yes
other interventions;huo ci mu;Yes
other interventions;huo ma ren;Yes
other interventions;huo tan mu cao;Yes
other interventions;huo xiang;Yes
other interventions;huperzia serrata;Yes
other interventions;huqi san;Yes
other interventions;hydnocarpus alpina;Yes
other interventions;hydnocarpus anthelmintica;Yes
physical interventions;hydraulic dynamometer;Yes
drug;hydrocodone;No
other interventions;hydrocotyle sibthorpioides;Yes
physical interventions;hydrotherapy;Yes
other interventions;hydrous calcium sulphate;Yes
other interventions;hydrous magnesium silicate;Yes
drug;hydroxyurea;No
physical interventions;hygiene;Yes
other interventions;hylocereus undatus;Yes
other interventions;hyoscyamus niger  ;Yes
physical interventions;hyperbaric oxygen therapy;Yes
physical interventions;hyperbaric oxygenation;Yes
radiotherapy;hyperfractionated;No
other interventions;hypericum;Yes
other interventions;hypericum ascyron;Yes
other interventions;hypericum perforatum;Yes
psychologic interventions;hypnosis;Yes
psychologic interventions;hypnotherapy;Yes
psychologic interventions;hypnotic;Yes
nutritional interventions;hypocaloric diet;Yes
other interventions;hyptis suaveolens;Yes
other interventions;hyriopsis cumingii;Yes
other interventions;ian xin;Yes
drug;ibandronate;No
drug;idarubicin;No
drug;idasanutlin;No
other interventions;idn 5933;Yes
drug;ifosfamide;No
other interventions;ilex asprella;Yes
other interventions;ilex paraguariensis;Yes
other interventions;ilex paraguayensis;Yes
other interventions;ilex paraguensis;Yes
other interventions;illicium difengpi;Yes
other interventions;illicium verum;Yes
medical examination;imagery;No
medical examination;imaging;No
