,pmid,introduction,methods,resultats,conclusion
453,16329131,"Family caregivers for cancer patients experience high levels of stress and burden and diminished quality of life (QOL). Interventions to improve coping skills of caregivers have been shown to be effective with other populations, but their impact has not been assessed in the difficult context of hospice care. The purpose of this study was to determine whether hospice plus a coping skill training intervention improved family caregivers' QOL, burden, coping, and mastery, compared with hospice plus emotional support, and usual hospice care.","A three group randomized controlled trial was conducted including baseline, 16 day, and 30 day assessments conducted from March 1999 to May 2003. The sample consisted of 354 family caregivers of community dwelling hospice patients with advanced cancer. Patient/caregiver dyads were randomly divided into three groups, including a control group (n = 109) who received standard hospice care, a group (n = 109) who received standard hospice care plus three supportive visits, and a group (n = 111) who received standard care plus three visits to teach a coping skills intervention. Primary outcomes included caregiver QOL, caregiver burden due to patient symptoms, caregiver burden due to tasks, and caregiver mastery.","At the 30-day follow-up, the coping skills intervention led to significantly greater improvement in caregiver QOL (estimate = -0.16, standard error [SE] = 0.07, P = 0.03), burden of patient symptoms (estimate = 0.28, SE = 0.07, P &lt; 0.001), and caregiving task burden (estimate = -0.01, SE = 0.01, P = 0.038) than did the other two conditions. None of the groups showed significant change in overall caregiving mastery, caregiver mastery specific to caregiving tasks, problem-focused or emotion-focused coping.","The coping skills intervention was effective in improving caregiver QOL, reducing burden related to patients' symptoms, and caregiving tasks compared with hospice care alone or hospice plus emotional support. Structured caregiver skill-training interventions for caregivers are promising even in the difficult environment of end-of-life care and for families already receiving benefits of hospice care."
454,24467669,To determine if supervised exercise minimises treatment toxicity in patients with prostate cancer initiating androgen-deprivation therapy (ADT). This is the first study to date that has investigated the potential role of exercise in preventing ADT toxicity rather than recovering from established toxicities.,"Sixty-three men scheduled to receive ADT were randomly assigned to a 3-month supervised exercise programme involving aerobic and resistance exercise sessions commenced within 10 days of their first ADT injection (32 men) or usual care (31 men). The primary outcome was body composition (lean and fat mass). Other study outcomes included bone mineral density, physical function, blood biomarkers of chronic disease risk and bone turnover, general and prostate cancer-specific quality of life, fatigue and psychological distress. Outcomes were compared between groups using analysis of covariance adjusted for baseline values.","Compared to usual care, a 3-month exercise programme preserved appendicular lean mass (P = 0.019) and prevented gains in whole body fat mass, trunk fat mass and percentage fat with group differences of -1.4\u2009kg (P = 0.001), -0.9\u2009kg (P = 0.008) and -1.3% (P &lt; 0.001), respectively. Significant between-group differences were also seen favouring the exercise group for cardiovascular fitness (peak oxygen consumption 1.1\u2009mL/kg/min, P = 0.004), muscular strength (4.0-25.9\u2009kg, P \u2264 0.026), lower body function (-1.1\u2009s, P &lt; 0.001), total cholesterol: high-density lipoprotein-cholesterol ratio (-0.52, P = 0.028), sexual function (15.2, P = 0.028), fatigue (3.1, P = 0.042), psychological distress (-2.2, P = 0.045), social functioning (3.8, P = 0.015) and mental health (3.6-3.8, P \u2264 0.022). There were no significant group differences for any other outcomes.","Commencing a supervised exercise programme involving aerobic and resistance exercise when initiating ADT significantly reduced treatment toxicity, while improving social functioning and mental health. Concurrent prescription of supervised exercise when initiating ADT is therefore advised to minimise morbidity associated with severe hypogonadism."
455,8229121,To evaluate the feasibility of integrating a program based on dietary fat intake reduction into adjuvant treatment strategies for postmenopausal women receiving therapy for early breast cancer.,Two hundred ninety postmenopausal women with localized (stage I to IIIa) breast cancer receiving conventional systemic therapy provided informed consent and were randomized in a multicenter trial to either a dietary intervention group receiving a program of individualized instruction for reducing total fat intake or a dietary control group with minimal dietary counseling.,"Significantly reduced (P &lt; .001) fat intake (in terms of percent calories derived from fat) was observed in the intervention group versus the control group at 3 months (20.3% +/- 2.4% v 31.5% +/- 2.6%, mean +/- SD, respectively) and maintained throughout 24 months of observation. The 50% reduction in daily fat-gram intake (from 66 +/- 23 to 33 +/- 14 g, P &lt; .001) seen at 6 months was associated with reduced saturated fat, monounsaturated fat, polyunsaturated fat, and linoleic acid (P &lt; .001). Significantly lower body weight was also seen in intervention compared with control patients at all observation periods, resulting in a 3.3-kg weight difference 18 months after randomization (P &lt; .001).",Substantial and sustained dietary fat reduction with associated weight change can be achieved at relatively low cost within the context of conventional multimodality clinical management of postmenopausal women with localized breast cancer. This result supports the feasibility of conducting a full-scale evaluation of the influence of dietary fat intake reduction on the clinical outcome of breast cancer patients.
456,29603130,Up to 40 per cent of patients undergoing oesophagectomy develop pneumonia. The aim of this study was to assess whether preoperative inspiratory muscle training (IMT) reduces the rate of pneumonia after oesophagectomy.,"Patients with oesophageal cancer were randomized to a home-based IMT programme before surgery or usual care. IMT included the use of a flow-resistive inspiratory loading device, and patients were instructed to train twice a day at high intensity (more than 60 per cent of maximum inspiratory muscle strength) for 2 weeks or longer until surgery. The primary outcome was postoperative pneumonia; secondary outcomes were inspiratory muscle function, lung function, postoperative complications, duration of mechanical ventilation, length of hospital stay and physical functioning.","Postoperative pneumonia was diagnosed in 47 (39\u00b72 per cent) of 120 patients in the IMT group and in 43 (35\u00b75 per cent) of 121 patients in the control group (relative risk 1\u00b710, 95 per cent c.i. 0\u00b779 to 1\u00b753; P\u2009=\u20090\u00b7561). There was no statistically significant difference in postoperative outcomes between the groups. Mean(s.d.) maximal inspiratory muscle strength increased from 76\u00b72(26\u00b74) to 89\u00b70(29\u00b74) cmH O (P\u2009&lt;\u20090\u00b7001) in the intervention group and from 74\u00b70(30\u00b72) to 80\u00b70(30\u00b71) cmH O in the control group (P\u2009&lt;\u20090\u00b7001). Preoperative inspiratory muscle endurance increased from 4\u2009min 14\u2009s to 7\u2009min 17\u2009s in the intervention group (P\u2009&lt;\u20090\u00b7001) and from 4\u2009min 20\u2009s to 5\u2009min 5\u2009s in the control group (P\u2009=\u20090\u00b7007). The increases were highest in the intervention group (P\u2009&lt;\u20090\u00b7050).","Despite an increase in preoperative inspiratory muscle function, home-based preoperative IMT did not lead to a decreased rate of pneumonia after oesophagectomy. Registration number: NCT01893008 (https://www.clinicaltrials.gov)."
457,20185972,"Alexithymia is likely to be involved in the pain experience of cancer patients, but the extent to which psychological interventions may modify both pain and alexithymia is unclear.","A group of 52 consecutive cancer patients were enrolled in a 6-month multicomponent psychological intervention trial, and compared to 52 control patients who received standard medical care. Validated scales for pain, alexithymia, coping with disease, illness behavior, psychological distress, and psychosocial functioning were administered at baseline and 6 months later.","Pain was strongly associated with alexithymia and several psychological dimensions. Although at baseline patients in the intervention group had worse psychological and somatic health, at follow-up their level of pain intensity, alexithymia, and somatic concerns had significantly improved compared to control patients. Patients in the intervention group showed dramatic improvements in pain perception, alexithymia, and other psychological variables, while control patients showed an unexpected significant worsening of alexithymia, depression, and adjustment to disease. Multiple regression showed that psychological intervention and alexithymia were both independently associated with the reduction in pain perception.","These findings confirm the close association between alexithymia and pain, and show that multicomponent psychological intervention may significantly reduce both alexithymia and cancer pain. Although the present findings need replication, they should strongly encourage clinicians to provide patients with psychological interventions targeting alexithymic difficulties and helping patients to cope better with both feelings and somatic perception."
458,23733528,"Event-free survival of pediatric patients with acute lymphoblastic leukemia (ALL) in Yogyakarta, Indonesia was low (20%). The aim of the study was to evaluate the effectiveness of using a medication diary-book on the treatment outcome of childhood ALL.","A randomized study was conducted with 109 pediatric patients with ALL in a pediatric oncology center in Yogyakarta, Indonesia. Both intervention and control groups received a structured parental education program and donated chemotherapy. The intervention group received a medication diary-book to remind parents and families to take oral chemotherapy and present for scheduled appointments or admissions. Event-free survival estimate (EFS) at 3 years was assessed.","Among pediatric patients with ALL with highly educated mothers (senior high school or higher), the EFS-estimate at 3 years of the intervention group was significantly higher than the EFS-estimate at 3 years of the control group (62% vs. 29%, P\u2009=\u20090.04). Among pediatric patients with ALL with low-educated mothers, no significant difference was found in the EFS-estimates at 3 years between the intervention and control group (26% vs. 18%, P\u2009=\u20090.86).","We conclude that a medication diary-book might be useful to improve the survival of pediatric patients with ALL in resource-limited settings, particularly in patients with highly educated mothers."
459,19411787,The purpose of this study was to analyze the effects of a cognitive-behavioral nursing intervention on anxiety and depression of patients with breast cancer undergoing radiotherapy.,"A nonequivalent control group design was used for the study. The research participants were patients with breast cancer (N=71; experimental group=35, comparison group=36) who received radiotherapy at P university hospital. The experimental group received a 6-week cognitive-behavioral nursing intervention (2 hr/week), which included nursing counseling, education about treatment choices for breast cancer and possible side effects and management strategies during radiotherapy, and rehabilitation exercise.","Following the intervention, the experimental group showed significantly lower levels of anxiety (Experimental group=34.60+/-6.35, Comparison group=44.63+/-9.93, t=3.552, p&lt;.001) and depression (Experimental group=10.20+/-6.61, Comparison group=17.81+/-10.85, t=3.542, p&lt;.001) than the comparison group.","The findings from this study showed that cognitive-behavioral counseling applied by nurses is very effective to reduce anxiety and depression among patients with breast cancer. Therefore, providing nursing counseling to broader spectrum of patients with cancer should be considered. Further research would warrant future clinical application of nursing counseling."
460,20849625,"Competing causes of mortality in the elderly decrease the potential net benefit from colorectal cancer screening and increase the likelihood of potential harms. Individualized decision making has been recommended, so that the elderly can decide whether or not to undergo colorectal cancer (CRC) screening. The objective is to develop and test a decision aid designed to promote individualized colorectal cancer screening decision making for adults age 75 and over.","We used formative research and cognitive testing to develop and refine the decision aid. We then tested the decision aid in an uncontrolled trial. The primary outcome was the proportion of patients who were prepared to make an individualized decision, defined a priori as having adequate knowledge (10/15 questions correct) and clear values (25 or less on values clarity subscale of decisional conflict scale). Secondary outcomes included overall score on the decisional conflict scale, and preferences for undergoing screening.","We enrolled 46 adults in the trial. The decision aid increased the proportion of participants with adequate knowledge from 4% to 52% (p &lt; 0.01) and the proportion prepared to make an individualized decision from 4% to 41% (p &lt; 0.01). The proportion that preferred to undergo CRC screening decreased from 67% to 61% (p = 0. 76); 7 participants (15%) changed screening preference (5 against screening, 2 in favor of screening)","In an uncontrolled trial, the elderly participants appeared better prepared to make an individualized decision about whether or not to undergo CRC screening after using the decision aid."
461,28721886,"A randomized phase II study was performed to measure the potential therapeutic effects of yoga on fatigue, erectile dysfunction, urinary incontinence, and overall quality of life (QOL) in prostate cancer (PCa) patients undergoing external beam radiation therapy (RT).","The participants were randomized to yoga and no-yoga cohorts (1:1). Twice-weekly yoga interventions were offered throughout the 6- to 9-week courses of RT. Comparisons of standardized assessments were performed between the 2 cohorts for the primary endpoint of fatigue and the secondary endpoints of erectile dysfunction, urinary incontinence, and QOL before, during, and after RT.","From October 2014 to January 2016, 68 eligible PCa patients underwent informed consent and agreed to participate in the study. Of the 68 patients, 18 withdrew early, mostly because of treatment schedule-related time constraints, resulting in 22 and 28 patients in the yoga and no-yoga groups, respectively. Throughout treatment, those in the yoga arm reported less fatigue than those in the control arm, with global fatigue, effect of fatigue, and severity of fatigue subscales showing statistically significant interactions (P&lt;.0001). The sexual health scores (International Index of Erectile Function Questionnaire) also displayed a statistically significant interaction (P=.0333). The International Prostate Symptom Score revealed a statistically significant effect of time (P&lt;.0001) but no significant effect of treatment (P=.1022). The QOL measures had mixed results, with yoga having a significant time by treatment effect on the emotional, physical, and social scores but not on functional scores.",A structured yoga intervention of twice-weekly classes during a course of RT was associated with a significant reduction in pre-existing and RT-related fatigue and urinary and sexual dysfunction in PCa patients.
462,29462503,"Cancer patients often report increased stress during chemotherapy. Stress management training has been shown to reduce this adverse outcome, but few interventions exist for Spanish-speaking Hispanic and Latina women (Latinas).","Following community feedback (including focus groups/in-depth interviews), we transcreated the Spanish-Language Self-Administered Stress Management Training (SL-SAT) intervention based on our previously developed and implemented English-based intervention. Latinas about to begin chemotherapy were randomized to SL-SAT (n\u00a0=\u00a0121) or usual care (n\u00a0=\u00a0119). A Spanish-speaking interventionist met with SL-SAT participants who received the SL-SAT toolkit containing instructions in 3 well-established stress management techniques (deep breathing, progressive muscle relaxation and guided imagery, and use of coping self-statements). Usual care participants received an educational booklet about coping with chemotherapy. All patients were instructed by nurses on their chemotherapy medications and given a resource listing of local support groups. Outcomes were obtained at baseline, and 7 and 13\u00a0weeks after starting chemotherapy. Primary outcomes included anxiety and depression, cancer-related distress, emotional well-being, and spiritual well-being. Secondary outcomes included functional well-being, social/family well-being, physical well-being, symptom severity, and self-efficacy for managing stress. Data were analyzed by using mixed models.","In both groups, improvements were observed in emotional well-being (P\u00a0=\u00a0.01), and declines were observed in functional well-being (P\u00a0=\u00a0.05), and physical well-being (P\u00a0&lt;\u00a0.0001). Symptom severity increased across the follow-up period (P\u00a0&lt;\u00a0.001).","To be effective, stress management interventions for Latinas receiving chemotherapy may necessitate more attention from an interventionist, delivery of the intervention over a longer interval, and/or a group-based format."
463,25577502,The purpose was to explore operable lung cancer patient experiences with an exercise intervention from a longitudinal perspective according to patient motivation and patient perceived benefits and barriers of exercise.,Nineteen patients enrolled in an exercise intervention 2 weeks post-surgery participated in qualitative interviews at three time points. A criteria sampling strategy was applied. Ricoeur's phenomenological hermeneutical philosophy inspired the analysis.,Patients initiated exercising median 15 days postoperative. Eight patients included in the interview study dropped out of the intervention due to side effects of chemotherapy (n = 3) and external circumstances (n = 5). The mean attendance rate for the eleven participants who completed the intervention was 82 %. No patients experienced severe adverse events. Motivation for participation included patients' expectations of physical benefits and the security of having professionals present. Patients experienced physical and emotional benefits and affirmed their social identity. Barriers were primarily related to side effects of chemotherapy.,The exercise intervention was undertaken safely by operable lung cancer patients initiated 2 weeks after surgery. The intervention put the patients on track to a healthier lifestyle regarding physical activity and smoking. The study indicates that exercise initiated early in the treatment trajectory is beneficial for operable lung cancer patients and especially for those who were physically active and motivated pre-illness and who did not experience side effect of treatment.
464,29305709,"Physical activity can impact the immune system in different ways, e.g. by alteration of the humoral and cellular immune response. Physical activity at medium intensity enhances numbers of cytotoxic T cells, NK cells and macrophages in healthy people. The aim of this study was to compare the effects of endurance and resistance training on the immune system in breast cancer patients during adjuvant chemotherapy.","In a prospective, controlled and randomized intervention exploratory trial, 12-week supervised endurance or resistance training were compared with usual care twice a week. Endpoints were the absolute numbers of the immune cells such as CD3 T lymphocytes including CD4- and CD8, \u03b1\u03b2 T cells, \u03b3\u03b4T cells, CD3/CD16/56 NK cells and CD19 B cells, before and after 12\u00a0weeks of treatment. Cell numbers were analyzed using fluorescence-activated cell sorting.","Despite different physical interventions in all groups immune cell count decreased in CD3 T cells including TCR \u03b1\u03b2 and CD4 T cells, NK cells and CD19 B cells 12\u00a0weeks after initiation of chemotherapy and start of the physical intervention program, while the reduction of \u03b3\u03b4 T cells and CD8 T cells is less prominent in the RT and UC group.","Chemotherapy led to a decrease in nearly all measured immune cells. In this study, physical intervention with endurance or resistance training did not suppress cellular immunity any further. Larger multicenter trials are needed to evaluate the exact impact of sports intervention on immune cell subpopulations."
465,30374764,To evaluate the potential role of levocarnitine supplementation for cancer-related fatigue in patients treated with sunitinib.,"Patients treated with sunitinib for unresectable or metastatic renal cell carcinoma were enrolled prospectively. Assessment of fatigue in each patient was done using the Brief Fatigue Inventory (BFI) questionnaire. Evaluation of fatigue and the serum carnitine level was done at baseline, 2\u00a0weeks, and 4\u00a0weeks after sunitinib therapy was initiated. All patients were treated with sunitinib 37.5\u00a0mg or 50\u00a0mg/day orally, with a 4-week administration and 2-week discontinuation schedule.","Ten patients were finally enrolled in the study. Seven of them had worsened fatigue at the 2-week assessment and levocarnitine was administrated. All these seven patients whose serum carnitine level at 2\u00a0weeks was worse than at the baseline improved after 2-week-L-carnitine supplementation. For six of the seven (85.7%) patients who had L-carnitine supplementation, the BFI score at 4\u00a0weeks decreased compared to that at 2\u00a0weeks, which indicated improvement of fatigue.","Levocarnitine supplementation for cancer-related fatigue in patients treated with sunitinib appears to have a potential benefit. However, further study with a larger number of patients and longer follow-up is crucial to confirm this."
466,9548624,Vitamin E and beta-carotene are considered to decrease the risk of gastric cancer both in humans and in laboratory animals. We studied the effect of dietary supplementation with alpha-tocopherol and beta-carotene on the end-of-trial prevalence of premalignant and malignant lesions of the stomach in older men with atrophic gastritis.,"The study was carried out within the Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study (ATBC study) in Finland, in which 29,133 male smokers aged 50-69 years were randomly assigned to receive daily 50 mg alpha-tocopherol, 20 mg beta-carotene, both of these agents, or placebo, for 5-8 years. Serum pepsinogen was determined at base line and after 3 years' supplementation to find men with atrophic gastritis. A low serum pepsinogen I level, indicating atrophic gastritis of the corpus area of the stomach, was found in 2132 men. These men were invited to have upper gastrointestinal endoscopy (gastroscopy), which was performed on 1344 subjects after a median supplementation time of 5.1 years.","Neoplastic alterations were found in 63 of the men (4.7%): 42 with definite dysplasias of low grade (moderate dysplasia), 7 with definite dysplasias of high grade (severe dysplasia), 11 with carcinomas (of which 7 were 'early' cancers), and 3 with carcinoid tumors. Neither alpha-tocopherol (relative risk, 0.98; 95% confidence interval, 0.57-1.69) nor beta-carotene (relative risk, 1.13; 95% confidence interval, 0.65-1.95) supplementation had any association with end-of-trial prevalence of gastric neoplasias after adjustment for other possible risk factors. The effect was not modified by base-line serum level or dietary intake of vitamins, prevalence of Helicobacter pylori infection, or other covariates.",We thus conclude that supplementation with alpha-tocopherol or beta-carotene for 5 years has no major impact on the occurrence of neoplastic changes of the stomach in older male smokers with atrophic gastritis.
467,16376977,This study evaluated the behavioral impact of a skin cancer prevention program in which health care providers delivered advice and materials to parents of infants over a 3-year period from 1998 to 2001.,"Fourteen offices of a large managed care organization in Colorado were randomly assigned to the intervention or control groups. 728 infants and their parents were recruited within 6 months of birth. At intervention offices, health care providers attended orientation sessions, prompts for delivering sun protection advice were placed in medical records, and parents received sun protection packets at each well-child visit between 2 and 36 months of age.","Based on provider self-report and exit interviews of parents, providers in the intervention group delivered approximately twice as much sun protection advice as providers in the control group. Annual telephone interviews of parents indicated small but statistically significant differences in parent sun protection practices favoring the intervention. Skin exams revealed no significant differences in tanning, freckling, or number of nevi. Behavioral differences between groups appeared to grow over the 3 years of follow-up.","This intervention strategy was successful in increasing the delivery of sun protection advice by health care providers and resulted in changes in parents' behaviors. While the behavioral effect was probably not strong enough to reduce risk for skin cancer, the effect may increase as children age and have more opportunities for overexposure to the sun."
468,22669332,"The antiestrogen, Raloxifene (Ral) is an effective breast cancer chemopreventive agent. Omega-3 fatty acids (n-3FA) may inhibit mammary carcinogenesis. On the basis of their mechanisms of action, we test the hypothesis that a combination of n-3FA and Ral may be superior in reducing select biomarkers of breast cancer risk in women.","Postmenopausal women at increased risk for breast cancer (breast density \u2265 25%) were randomized to: (1) no intervention; (2) Ral 60 mg; (3) Ral 30 mg; (4) n-3FA (Lovaza) 4 g and (5) Lovaza 4 g+Ral 30 mg for 2 years. Reduction in breast density is the primary end point of the study. We report preliminary data on feasibility, compliance and changes in secondary end points related to IGF-I signaling, estrogen metabolism, oxidative stress and inflammation in the first group of 46 women who completed 1 year of the study.",All interventions were well tolerated with excellent compliance (96 \u00b1 1% overall) by pill count and also supported by the expected rise in both serum n-3FA and n-3FA/Omega-6 fatty acids (n-6FA) ratio in women randomized to groups 4 and 5 (P&lt;0.05). Lovaza decreased serum triglycerides and increased high-density lipoprotein (HDL) cholesterol compared with control (P&lt;0.05 for both). Ral reduced serum IGF-1 in a dose-dependent manner (P&lt;0.05) while Lovaza did not. Lovaza had no effect on IGF-1 or IGFBP-3. None of the other biomarkers were affected by our treatment.,The combination of Lovaza and Ral is a feasible strategy that may be recommended in future breast cancer chemoprevention trials.
469,11162337,This article describes one outcome of a randomized controlled trial of community action for cancer prevention. The aims of this article were to (a) explore the effectiveness of a community action program in decreasing community smoking rates in rural Australian towns and (b) describe the relationship between adult smoking quit and uptake rates and demographic variables.,"In 1992, 20 towns were selected for randomization. Community action involved formation of community committees and utilization of access point networks to initiate and maintain intervention strategies. At post-test, outcomes were proportion of &quot;quitters&quot; from a cohort of self-described smokers, proportion of &quot;uptakers&quot; from a cohort of self-described nonsmokers, and &quot;net effect.&quot;","Differences in quit rate, uptake rate, and net effect for intervention compared to control condition favored the intervention in all cases, although mainly nonsignificant. Significantly more male smokers quit in intervention towns than in control towns [7.0% (95% CI: 0.6, 13.5)].","Given that CART utilized and improved upon strategies argued as effective in the literature, the limited success of the project in reducing adult smoking, considered in combination with COMMIT findings, suggests the need for further innovation in the field."
470,27833172,"Recently, we described an inverse association between cranberry supplementation and serum prostate specific antigen (PSA) in patients with negative biopsy for prostate cancer (PCa) and chronic nonbacterial prostatitis. This double blind placebo controlled study evaluates the effects of cranberry consumption on PSA values and other markers in men with PCa before radical prostatectomy.","Prior to surgery, 64 patients with prostate cancer were randomized to a cranberry or placebo group. The cranberry group (n=32) received a mean 30 days of 1500 mg cranberry fruit powder. The control group (n=32) took a similar amount of placebo. Selected blood/urine markers as well as free and total phenolics in urine were measured at baseline and on the day of surgery in both groups. Prostate tissue markers were evaluated after surgery.","The serum PSA significantly decreased by 22.5% in the cranberry arm (n=31, P&lt;0.05). A trend to down-regulation of urinary beta-microseminoprotein (MSMB) and serum gamma-glutamyltranspeptidase, as well as upregulation of IGF-1 was found after cranberry supplementation. There were no changes in prostate tissue markers or, composition and concentration of phenolics in urine.",Daily consumption of a powdered cranberry fruit lowered serum PSA in patients with prostate cancer. The whole fruit contains constituents that may regulate the expression of androgen-responsive genes.
471,15869995,"To evaluate the efficacy and toxicity of green tea, prescribed as an alternative complementary (CAM) formulation on hormone refractory prostate cancer (HRPC).",Patients with HRCP were prescribed green tea extract capsules at a dose level of 250 mg twice daily. Efficacy and toxicity were evaluated during monthly visits. The primary endpoint was prostate-specific antigen (PSA) or measurable disease progression after a minimum of 2 months of therapy.,"Nineteen patients were enrolled into the study. The treatment was generally well tolerated. Twelve patients reported at least one side effect; only two of these were of moderate or severe grade. Primary toxicity was related to gastrointestinal irritation or caffeine intake. Four patients did not complete the minimum 2 months of therapy because of: intolerance (two patients), physician stoppage (one patient), death from cerebrovascular accident (one patient). Fifteen patients completed at least 2 months of therapy. Nine of these patients had progressive disease within 2 months of starting therapy. Six patients developed progressive disease after additional 1 to 4 months of therapy.","Green tea, as CAM therapy, was found to have minimal clinical activity against hormone refractory prostate cancer."
472,18365859,To evaluate the effects of electro-acupuncture (EA) and hormone therapy (HT) on vasomotor symptoms in women with a history of breast cancer.,"Forty-five women were randomized to EA (n = 27) for 12 weeks or HT (n = 18) for 24 months. The number of and distress caused by hot flushes were registered daily before, during and up to 24 months after start of treatment.","In 19 women who completed 12 weeks of EA, the median number of hot flushes/24 h decreased from 9.6 (interquartile range (IQR) 6.6-9.9) at baseline to 4.3 (IQR 1.0-7.1) at 12 weeks of treatment (p &lt; 0.001). At 12 months after start of treatment, 14 women with only the initial 12 weeks of EA had a median number of flushes/24 h of 4.9 (IQR 1.8-7.3), and at 24 months seven women with no other treatment than EA had 2.1 (IQR 1.6-2.8) flushes/24 h. Another five women had a decreased number of flushes after having additional EA. The 18 women with HT had a baseline median number of flushes/24 h of 6.6 (IQR 4.0-8.9), and 0.0 (IQR 0.0-1.6; p = 0.001) at 12 weeks.",Electro-acupuncture is a possible treatment of vasomotor symptoms for women with breast cancer and should be further studied for this group of women.
473,25838249,The time of lung cancer screening may provide the ideal setting to discuss and initiate a smoking cessation plan that includes pharmacologic aids. No studies to date have fully investigated the potential effectiveness of such combined approach.,"We prospectively evaluated the biochemically verified 1-year continuous abstinence rate from smoking of 187 persistent smokers enrolled within the Multicentric Italian Lung Detection Trial (MILD), who received a pharmacologic aid to quit smoking with varenicline along with behavioral counseling. The propensity of study subjects to succeed in smoking cessation was also monitored.","At 12 months, the continuous abstinence rate from smoking was achieved in 37 out of 187 patients (19.8%), with a propensity to succeed in smoking cessation for the assisted attempt equal to 1.43, as compared to an unassisted MILD patient. At the end of the third month of therapy, 48.7% of subjects showed a continuous abstinence rate, while only 33.7% of patients were abstinent from smoking at 6 months. At baseline, the subgroup of MILD participants who were originally allocated to lung tomography showed higher smoking intensity than those allocated to no screening.",A combined smoking cessation intervention can be implemented with satisfactory results within a lung cancer screening program; this preliminary observation needs to be replicated in a prospective investigation. Clinicians should consider that lung cancer screening may be falsely reassuring for persistent smokers; therefore it should always be coupled with a smoking cessation program.
474,29766259,To evaluate the utility of a telephone outcall program for cancer caregivers and to examine longitudinal changes in their distress levels and supportive care needs.,"As part of the PROTECT trial, caregivers assigned to the intervention arm (N\u2009=\u2009108) received three telephone outcalls from a Cancer Council 13 11 20 nurse at three time points (7-10\u00a0days post-randomization, 1 and 4\u00a0months later). During each call, caregivers were screened for distress using the Distress Thermometer (range: 0-10) then six supportive care issues were raised for discussion. Participants completed a utility survey 1\u00a0month post-intervention.","The outcall program was highly acceptable and perceived as beneficial by caregivers. Overall, 95% reported it was worth their time to take part in the outcall program and 82% stated that the program was very relevant to them. Level of distress and impact of distress decreased over time (p\u2009=\u20090.0031, p\u2009&lt;\u20090.0001, respectively). Average call duration decreased over time (p\u2009&lt;\u20090.0001) and was longer for female than male caregivers (p\u2009=\u20090.0009). The frequency of caregivers discussing issues related to psychological distress (p\u2009=\u20090.0003), health literacy (p\u2009&lt;\u20090.0001), financial (p\u2009=\u20090.0014), and practical concerns (p\u2009=\u20090.0121) decreased over time. Psychological distress was more often discussed by female than male caregivers (p\u2009=\u20090.0153), and family issues more often by younger (&lt;\u200955\u00a0years) than older caregivers (p\u2009=\u20090.0071).","Utility of this outcall program was high. Caregivers' level of distress and unmet needs decreased over time. Gender and age differences emerged, which warrants the need for tailored support. Further research is necessary to identify the best method of improving access to 13 11 20 services for caregivers."
475,16921009,"The purpose of this study was to enhance adherence among older (aged 55 years and older) African American men enrolled in a cancer screening trial for prostate, lung, and colorectal cancer. For this study, we defined adherence as completing the trial screenings.",We used a randomized trial design. Case managers contacted intervention group participants (n=352) at least monthly by telephone and provided information and referral services. The control group included 351 participants.,"Among participants with low income, those in the intervention group had higher screening adherence rates than did participants in the control group for (a) prostate-specific antigen test for prostate cancer (74.3% vs 53.0%, p=.001), (b) digital rectal exam for prostate cancer (66.2% vs 46.1%, p=.011), and (c) chest x-ray for lung cancer (70.9% vs 51.3%, p=.012). We found no statistically significant differences in adherence rates for flexible sigmoidoscopy screening for colorectal cancer. In contrast, among participants with moderate-to-high income, we found no statistically significant differences in adherence rates between intervention and control group participants for any of the screening tests.","The case management intervention was effective in enhancing adherence among participants with the lowest income, who in many studies are the most difficult to retain."
476,22271538,To evaluate the efficacy of a brief cognitive-behavioral therapy (CBT) that is being developed for management of cognitive dysfunction following chemotherapy among breast cancer survivors. Memory and Attention Adaptation Training (MAAT) is a brief CBT designed to improve the quality of life and function among cancer survivors with post-chemotherapy cognitive complaints.,"An initial, two-group (MAAT versus waitlist, no treatment control), randomized clinical trial (RCT) was conducted. Forty stage I and II female breast cancer survivors (mean age = 50; SD = 6.4) were randomized to conditions and assessed at baseline, post-treatment (8 weeks) and 2-month follow-up assessment points on measures of: (1) self-reported daily cognitive failures; (2) quality of life; and (3) neuropsychological performance. Participants were also assessed for satisfaction with MAAT.","With education and IQ as covariates, MAAT participants made significant improvements relative to controls on the spiritual well-being subscale of the quality of life measure and on verbal memory, but statistical significance was not achieved on self-report of daily cognitive complaints. However, moderate-to-large effect sizes were observed on these outcomes. Participants gave MAAT high satisfaction ratings.","Although this initial RCT is a small study, MAAT participants appear to improve on one measure of quality of life and verbal memory performance relative to no treatment controls and rate MAAT with high satisfaction. These data are encouraging and support the continued development and evaluation of MAAT efficacy."
