,Unnamed: 0,journalname,pmid,text,response
3418,52085,Urology,16360449,prostatic massage serum complexed prostatespecific antigen evaluate prostatic massage serum complexed psa cpsa concentration various prostatic diseases prostatic massage serum cpsa concentration lesser extent tpsa fpsa prostatic massage tpsa fpsa fpsatpsa ratio increase cpsa minimal statistically increase occurred forms psa tpsa cpsa fpsatpsa ratio except fpsa prostatic massage greater increase psa forms chronic prostatitis men presented outpatient clinic symptoms lower urinary outflow obstruction samples obtained prostatic massage psa tpsa psa fpsa cpsa measured chemiluminescent enzyme immunoassay massage prostatespecific antigen prostatic hyperplasia prostatic prostatitis prostatespecific antigen,1
3424,52106,Urology,17320666,tomatobased lycopenecontaining intervention androgenindependent north central evaluated androgenindependent asymptomatic serum prostatespecific antigen elevation despite hormonal manipulation completed questionnaire motivations enrolling alternative medicine prescribed lycopenerich tomato supplement lycopene twice daily tomatoes rich lycopene explored lycopenerich tomato product androgenindependent reasons participated alternative medicine lycopene prescribed appear effective androgenindependent reasons enrolling realistic manifested greater confirmed decline serum prostatespecific antigen level yielding lycopene well tolerated died cancerrelated hemorrhage diarrhea events diarrhea nausea abdominal distension flatulence vomiting anorexia dyspepsia reasons entering discussed oral androgens anticarcinogenic biopsy needle carotenoids complementary therapies dietary supplements followup lycopene lycopersicon esculentum staging hormonedependent selection probability prostatespecific antigen prostatic assessment androgens anticarcinogenic carotenoids prostatespecific antigen lycopene,1
3434,52139,Urology,18158012,gum chewing stimulates bowel motility undergoing radical cystectomy urinary diversion several shown gum chewing stimulate bowel motility gastrointestinal urinary diversion typically uses segment bowel conceivable undergoing cystectomy diversion benefit gum chewing aimed determine whether gum chewing immediate postoperative period facilitates return bowel function undergoing cystectomy urinary diversion underwent radical cystectomy urinary diversion clinically localized bladder followed perioperative cystectomy plan cohort underwent july august served comparison gum dispensed second cohort underwent september july given chewing gum begin postoperative measures flatus bowel movement length hospital stay complications flatus shorter gum controls also bowel movement reduced gum difference length hospital stay gumchewing controls gum chewing well tolerated gum chewing speed recovery bowel function cystectomy diversion findings consistent outcomes published support chewing gum easy inexpensive way enhance recovery chewing gum cystectomy feces flatulence gastrointestinal motility intestinal pseudoobstruction length stay postoperative postoperative complications urinary bladder urinary diversion chewing gum,1
3614,53726,Gynecologic oncology,30638766,modified panelbased genetic counseling ovarian susceptibility noninferiority minute presentation prior pretest telephone gc noninferior traditional inperson gc variables tested except perceived ovarian modified model improved gc efficiency without negatively affecting psychosocial outcomes providing alternative strategy meet growing demand genetic testing genetic testing identifies benefit targeted allows enhanced screening riskreduction atrisk relatives traditional models genetic counseling gc cannot meet increasing demand urgency genetic testing objective evaluate new model service delivery improve efficiency pretest gc panelbased genetic testing parallel twoarmed noninferiority traditional modified pretest gc models prior panelbased genetic testing participants females whose firstdegree relative died serous ovarian modified participants emailed minute presentation prior scheduled pretest gc telephone call psychosocial knowledge questionnaires provided baseline week pretest gc completed pretest gc modified traditional differences marital status education level household income pretest gc shorter modified average difference posttest gc average modified pretest gc model found noninferior traditional gc measures cancerspecific distress depression anxiety decisional conflict ovarian knowledge satisfaction perceived lifetime ovarian decreased lesser extent baseline modified pretest gc genetic counseling noninferiority ovarian panelbased genetic testing psychosocial outcomes decision support techniques genetic counseling genetic predisposition genetic testing models psychological ovarian,1
3615,53729,Gynecologic oncology,30718125,patientcentered mobile application motivate genetic counseling among ovarian pilot magic intervention result uptake genetic counseling provided secondary benefits including knowledge hereditary ovarian selfefficacy reported communication family members utilization genetic counseling services improved arms historical controls statistically difference intervention controls magic intervention demonstrated greater knowledge hereditary scale persisted least additionally intervention reported talked family genetic counseling mobile application intervention fogg behavior model consisted parts identifying barriers developing motivators providing triggers action belief model guide content development conducted pilot among untested history epithelial ovarian peritoneal fallopian tube objective increasing uptake genetic counseling services despite current guidelines recommending ovarian receive genetic evaluation genetic counselor utilization historically sought assess feasibility effectiveness weeklong mobile application genetic information magic intervention aimed persuade ovarian pursue genetic counseling brca communication genetic counseling mobile application ovarian ovarian epithelial genetic counseling knowledge attitudes practice mobile applications pilot projects telemedicine,1
3621,53814,Preventive medicine,15020170,impact physicianoriented intervention followup screening evaluated impact reminderfeedback educational outreach intervention practice cde recommendation performance rates four hundred seventy physicians pcps practices participated mailed fobt kit annually part screening program practices randomly assigned intervention month prerandomization period month postrandomization period screening fobt identified intervention practices screening program intervention practices screening program outcomes baselineadjusted cde recommendation performance rates complete diagnostic evaluation cde ie colonoscopy flexible sigmoidoscopy plus barium enema xray often persons abnormal screening fecal occult test fobt result reminderfeedback plus educational outreach intervention cde recommendation performance baseline twothirds fobt cde recommendation half cde endpoint cde recommendation performance rates intervention practices followup guideline adherence occult physicians family practice guidelines topic preventive medicine reminder systems,1
3622,53824,Preventive medicine,15207987,increasing accuracy perceived information service callers reported designed increase accuracy perceived among callers information service cis cis callers assigned intervention brief educational intervention estimate telephone end usual service followup interviews completed telephone month average overestimated percentage points eighty percent respondents rated assessment tool rated firstdegree family history rated lower latina asianother raceethnicity firstdegree family history intervention reduced overestimate percentage points intervention unique delivered ongoing service setting tested diverse populations attitude educational status ethnic education mammography topic assessment telephone united states,1
3624,53954,Preventive medicine,29894717,stepwise strategy improve cervical screening adherence scancervical automated text messages phone calls reminders population aim test effectiveness invitation cervical screening lowcost strategy automated customized text messages phone calls reminders conducted among portuguese units recruiting eligible cervical screening available mobile phone number intervention participants invited cervical screening automatedcustomized text messages phone calls followed text message reminders participants invited written letter standard proportion adherent screening invitation secondary defined adherence proportion invitation text messages reminders intervention adherence cervical among assigned intervention corresponds difference difference adherence invitation strategy text messages reminders standard conclusion invitation cervical screening automated text messagesphone calls reminders increases adherence cervical screening lowcost operatorindependent strategy invitation contribute sustainability organized screening programs early detection mass screening reminder systems text messaging uterine cervical phone early detection mass screening portugal reminder systems text messaging uterine cervical,1
3699,54332,"Lancet (London, England)",12076551,fruit vegetable consumption plasma antioxidant concentrations pressure randomised dietary intakes fruit vegetables reduced risks cardiovascular shortterm intensive dietary interventions selected populations increase fruit vegetable intake raise plasma antioxidant concentrations lower pressure longterm interventions general population certain assessed intervention increase fruit vegetable consumption plasma concentrations antioxidant vitamins daily fruit vegetable intake pressure undertook month randomised brief negotiation method encourage increase consumption fruit vegetables least five daily portions healthy participants recruited primarycare centre plasma concentrations alphacarotene betacarotene lutein betacryptoxanthin ascorbic acid intervention controls significance betweengroup differences ranged differ changes lycopene retinol alphatocopherol gammatocopherol cholesterol concentrations selfreported fruit vegetable intake sd portions intervention portion betweengroup difference systolic pressure fell intervention controls difference hg diastolic pressure hg intervention fruit vegetable consumption plasma antioxidants pressure would expected reduce cardiovascular general population antioxidants pressure diet fruit social class surveys questionnaires vegetables antioxidants,1
3810,55989,The Lancet. Oncology,29402701,early systematic integration palliative randomised april feb screened eligibility enrolled randomly assigned early systematic palliative standard oncological compliance intervention score eortc qlq c standard oncological early systematic palliative difference mqol single item scale standard oncological early systematic palliative difference randomised eligible older due solid tumour european cooperative oncology performance status estimated expectancy within new tumour diagnosis randomly assigned block design computergenerated sequence either early systematic integration palliative oncological standard oncological alone setting offered multidisciplinary oncology medical specialists psychologists social workers dieticians specialist nurses endpoint change global statusquality scale assessed european organisation research questionnaire core items eortc qlq c mcgill questionnaire mqol includes additional existential wellbeing dimension also intention treat ongoing closed accrual registered number benefit early integration palliative oncological suggested due psychosocial support belgium psychosocial part standard oncological aim randomised examine whether early systematic integration palliative alongside standard psychosocial oncological provides added benefit usual findings show model early systematic integration palliative oncological increases findings also show early systematic integration palliative beneficial palliative consultations offered demand even psychosocial support already offered integration oncologists specialised palliative teams work together enhance research foundation flanders flemish society kom op tegen kanker belgium cooperative behavior delivery integrated status interdisciplinary communication expectancy medical oncology palliative team,1
3850,56424,The lancet. Gastroenterology & hepatology,30473202,individual hypnotherapy irritable bowel syndrome imagine multicentre randomised hypnotherapy considered possible ibs secondary furthermore could allow many cost hypnotherapy irritable bowel syndrome ibs primarily refractory symptoms specialised departments delivered individual basis aimed test hypothesis hypnotherapy would effective educational supportive hypnotherapy would noninferior individual hypnotherapy ibs referred secondary multicentre randomised imagine hospitals netherlands ibs referred secondary randomly allocated blocks six computerbased random number table procedure staff involved receive six sessions individual hypnotherapy educational supportive adequate relief ibs symptoms responders defined reported adequate relief asked weekly four occasions consecutive hypnotherapy intentiontotreat population excluding individuals subsequently found ineligible enrolment assessed noninferiority hypnotherapy individual hypnotherapy perprotocol population noninferiority margin registered isrctn number isrctn completed april referred psychological ibs assessed eligibility randomly allocated individual hypnotherapy hypnotherapy educational supportive exclusion individuals subsequently found ineligible enrolment individual hypnotherapy hypnotherapy intentiontotreat population individual hypnotherapy hypnotherapy dropped intentiontotreat adequate individual hypnotherapy hypnotherapy individual hypnotherapy hypnotherapy reported adequate relief hypnotherapy effective odds ratio perprotocol individual hypnotherapy hypnotherapy adequate relief individual hypnotherapy reported adequate relief hypnotherapy therefore noninferior individual hypnotherapy eight unexpected serious adverse reactions six individual hypnotherapy hypnotherapy reported inflammatory bowel judged medical ethics committee none equivalence topic hypnosis intention treat irritable bowel syndrome education topic psychotherapy,1
3852,56523,The British journal of nutrition,29277158,postoperative symbiotic head neck doubleblind randomised origin suggested stressful insults affect intestinal permeability leading bacterial translocation symbiotics reported able improve gut permeability modulate immunologic system thereby decreasing postoperative complications therefore aimed evaluate postoperative symbiotics head neck surgical intestinal function permeability well postoperative outcomes doubleblind randomised symbiotic samples administered twice nasoenteric tube starting st postoperative th th comprised colonyforming unitsml lactobacillus paracasei l rhamnosus l acidophilus bifidobacterium lactis plus g fructooligosaccharides placebo g maltodextrin intestinal function evacuation stool episodes stool consistency gastrointestinal tract symptoms gut permeability diamine oxidase dao enzyme postoperative complications infectious noninfectious assessed comparison pre postoperative periods similar variables twelve complications symbiotic v nine preoperativepostoperative dao activity ranged sd sd symbiotic sd sd conclusion postoperative symbiotics impact intestinal function postoperative outcomes head neck surgical bt bacterial translocation dao diamine oxidase head neck intestinal function nutrition symbiotics amine oxidase coppercontaining bacterial translocation bifidobacterium colony count microbial doubleblind method gastrointestinal microbiome head neck intestines lactobacillus nutrition permeability placebos postoperative postoperative complications prebiotics probiotics placebos prebiotics amine oxidase coppercontaining,1
3859,56712,Palliative & supportive care,28357972,dyadic psychological intervention caregivers homebased specialized palliative domus model show psychological intervention systematically integrated spc appears feasible provide dyadic needsbased sessions existential therapeutic approach domus rct provide evidence novel model multidisciplinary spc abstractobjectivepatients incurable informal caregivers numerous psychological psychosocial needs many wish receive die home homebased specialized palliative spc interventions systematically integrate psychological support present psychological intervention patientcaregiver dyads developed ongoing rct homebased spc known domus well assessment acceptability feasibility domus model spc incurable caregivers offered systematic psychological assessment dyadic intervention part interdisciplinary accelerated transition spc aim model enhance chances receiving dying home integration psychological support sought facilitate goal alleviating distress caregivers psychologists provided needsbased sessions existentialphenomenological feasibility acceptability investigated examining enrollment nonparticipation completion psychological sessions enrollment rct uptake psychological intervention indicated feasible acceptable caregivers strengths intervention focus dyads psychological distress existential concerns well interdisciplinary collaboration psychological interventions offered according need main limitation lack intervention family members existential family caregiver palliative psychological intervention caregivers protocols home services stress psychological,1
3860,56720,Palliative & supportive care,30415646,written prayer technique anxiety mothers children recruited mothers children admitted medical centre tehran convenience sampling method randomly assigned participants intervention collected anxiety scale demographic questionnaire maternal anxiety measured intervention immediately threeday intervention five intervention writing technique intervention consecutive intervention participants wrote sincere desires wishes demanded god without worry stress spent writing normal daily schedules example feeding children changing clothes consecutive intervention asked worry grammar spelling errors finally analyzed descriptive analytical statistical methodsresulta statistically difference intervention relative anxiety intervention lt five intervention continued exhibit reduced anxiety intervention lt significance resultsthe written prayer technique appears effective efficient costeffective practical method reducing anxiety mothers children investigate written prayer technique anxiety mothers children children intervention anxiety scale written prayer technique anxiety iran mothers psychometrics religion spiritual therapies statistics nonparametric surveys questionnaires,1
3861,56722,Palliative & supportive care,30683167,effectiveness spiritual spiritual assessment sheet pilot nonrandomized obtain preliminary knowledge design clarify spiritual spiritual assessment sheet spipas designed nonrandomized took place january july hematology oncology ward palliative units japan among eligible recruited intervention intervention spiritual spipas usual usual functional assessment chronic illness therapyspiritual facitsp secondary outcomes hospital anxiety depression scale hads comprehensive coqoloresulta completed week followup evaluations differences changes scores facitsp hads confidence intervals lt changes score coqolosignificance resultsspiritual spipas might useful improving spiritual wellbeing could future promising outcomes obtained within nursing palliative spirituality japan measurement palliative pilot projects psychometrics spiritual therapies surveys questionnaires,1
4045,57269,Breast cancer research and treatment,14503805,psychoeducational intervention satisfaction information exploratory subjects consecutively selected outpatients surgically national center hospital east japan conducted week psychoeducational intervention satisfaction information assessed visual analogue scale hierarchical regression investigate relationship psychological distress satisfaction information provided suggest offering appropriate medical psychological information psychoeducational interventions might increase satisfaction information resulting lower psychological distress components psychoeducational interventions effective reducing psychological distress well known examine whether increasing satisfaction information provided psychoeducational interventions reducing psychological distress available obtained intervention satisfaction information methods coping lower mood disturbance scores information services education topic satisfaction stress psychological,1
4084,57386,Journal of consulting and clinical psychology,14622079,project genesis assessing problemsolving distressed problemsolving pst reduce psychological distress assessed among sample second condition provided pst posttreatment participants receiving pst fared better waiting list improvements problem solving found correlate improvements psychological distress differences symptom reduction identified protocols month followup pst along reported lower psychological distress members pstalone condition approximately half measures maintained posttreatment adaptation psychological caregivers cognitive behavioral followup personality assessment problem solving sick role social support stress psychological,1
4085,57393,Journal of consulting and clinical psychology,17154743,stress management improves range psychosocial interventions among remains uncertain furthermore unclear components multimodal interventions account address issues authors tested week cognitivebehavioral stress management intervention among newly nonmetastatic following recruitment intervention reduced reports social disruption emotional wellbeing states mind benefit finding lifestyle change affect indeed strengthened respect mechanisms tested intervention confidence able relax also evidence intervention various outcomes examined mediated change confidence able relax thus intervention beneficial diverse aspects appear linked specific stress management skill taught intervention adaptation psychological cognitive behavioral modality followup psychotherapy relaxation sick role stress psychological,1
4089,57429,"Health psychology : official journal of the Division of Health Psychology, American Psychological Association",17500622,longterm appearancebased interventions sun protection behaviors month month followups uv photo photoaginginformation interventions show promise brief relatively inexpensive approach motivating sun protection practices reduce skin selfreported sun protection intentions assessed immediately interventions selfreported sun protection behaviors objective assessment via spectrophotometry skin color change measured end summer following interventions following interventions examine longer term efficacies exposure uv photographs photoaging information eg wrinkles spots increasing sun protection intentions behaviors young adults interventions resulted immediate future sun protection intentions interventions objective evidence less skin darkening postsummer followup photoaging information condition also reporting sun protective behavior continuing show less skin darkening intervention also evidence photoaging information subsequent skin color change mediated earlier photoaging information intentions sun protect subsequent sun protection behaviors adolescent reduction behavior skin aging skin spectrophotometry sunburn sunscreening sunscreening,1
4090,57562,"Health psychology : official journal of the Division of Health Psychology, American Psychological Association",31045423,integrating promis computerized adaptive tests webbased intervention outlined implementation feasibility delivering promis computer adaptive tests cats webbased method evaluate impact technological adaptation cognitivebehavioral stress management cbsm psychosocial functioning men apc undergoing hormone assessment completion rates week week demonstrated moderate feasibility repeatedly administering promis cats webbased method multilevel modeling demonstrated groupbytime interactions week week assessed promis domains adjusting sociodemographic medical covariates simple demonstrated decreases promis anxiety scores week also demonstrated relationships medical variables psychosocial functioning across points highlight feasibility benefits utilizing promis cats repeatedly assess psychosocial functioning webbased method indicate webbased interventions effective decreasing psychosocial distress adverse symptoms among men apc undergoing hormone psycinfo database record c apa rights reserved cbsm intervention promotion hp attentionmatched condition participants attended sessions via video conference tablets completed promis computer adaptive tests cats assessing anxiety depression fatigue interference physical function weekly week intervention internet reported measures prostatic,1
4091,57567,"Health psychology : official journal of the Division of Health Psychology, American Psychological Association",30762400,lemons lemonade biobehavioral intervention later changes bbi survivors reported changes controlling ies cesd differ negative changes iescesd scores reported negative changes ps content revealed predominance thought categories sustainment gains provided psychosocial interventions unclear furthermore unknown whether interventions also yield longterm changes present experimentally tests intervention delivered diagnosis could yield broad longterm changes domains relationships worldview priorities goals hypothesized intervention would report fewer negative changes survivorship adding support bbi survivors reported changes since diagnosis survivors receiving bbi generally heightened stressdepressive symptoms diagnosis foretold reporting negative changes thought listing strategy obtain personalized accounts changes psycinfo database record c apa rights reserved iiiii biobehavioral intervention bbi assessment randomization completed measures stress impact events scale ies depressive symptoms center epidemiological depression scale cesd month followup survivors completed thought listing task prompts eg relationships listed thoughts change since diagnosis rated valence frequency positivenegative thoughts across prompts listed thoughts content analyzed survivors climacteric cognitive behavioral depressive disorder sickness impact profile,1
4109,57790,British journal of cancer,3524645,magnesium supplementation testicular receiving cisplatin randomised concentration magnesium serum shown fall potentially dangerously several courses cisdiamminedichloroplatinum cisplatin aims examine magnesium supplementation predicted sixteen testicular studied detail month period ovarian dysgerminoma also eight randomised receive magnesium supplements intravenous oral nine nonsupplemented greater renal tubular damage assessed urine nacetylbdglucosaminidase nag trend towards reduction delays due neutropenic episodes supplemented serum magnesium concentrations remained neither differences tumour growth rates show magnesium supplements considerable benefit show harmful receiving cisplatin suggested magnesium supplements routine part regime comprise iv supplements oral supplements courses acetylglucosaminidase adolescent cisplatin topic dysgerminoma kidney diseases magnesium magnesium deficiency ovarian testicular acetylglucosaminidase magnesium cisplatin,1
4320,60283,British journal of cancer,29855611,rt prepare radiation therapistdelivered intervention reduces psychological distress referred aims determine whether radiation therapistled education intervention rt prepare reduced breasts psychological distress endpoint anxiety depression concerns knowledge preparedness secondary endpoints system usage costs also assessed multiplebaseline across sites rt prepare intervention comprised consultations radiation therapist prior planning radiation therapists focused providing sensory procedural information addressing pretreatment anxiety usual collected prior intervention commencement collection occurred meeting radiation oncologist prior planning completion multilevel mixed regression models usual intervention participated usual intervention participants reported lower psychological distress commencement lower concerns knowledge preparedness procedural concerns preparedness sensorypsychological concerns planning withintrial costs estimated au us ongoing costs au us rt prepare intervention effective reducing psychological distress preparing intervention provides opportunity radiation therapists extend role providing information support prior reduce psychological distress anxiety depression education topic stress psychological,1
4345,60744,British journal of cancer,12454764,plasma neutrophil fatty acid composition fish oil supplementation metabolic demand altered supply essential nutrients poorly characterised possible imbalance deficiency essential fatty acids suggested reported beneficial fish oil supplementation assess fatty acid status composition plasma neutrophil phospholipids supplementation g fish eicosapentaenoic acid docosahexaenoic acid placebo olive oil drawn experiencing weight loss body weight fatty acid composition plasma phospholipids major phospholipid classes isolated neutrophils determined gas liquid chromatography baseline exhibited normal values plasma phospholipids constituent fatty acids elevated content neutrophil phospholipids nn fatty acid ratios neutrophil plasma phospholipids inversely body mass index fish oil supplementation raised eicosapentaenoic acid docosahexaenoic acid content plasma neutrophil phospholipids content reduced neutrophil pi following supplementation fish oil change body weight supplementation period directly increases eicosapentaenoic acid plasma alterations lipid metabolism potentially due nutritional status andor potential obstacles fatty acid utilisation must addressed future aiming improve outcomes nutritional intervention fish oils animals basal metabolism body mass index body weight chromatography gas docosahexaenoic acids eicosapentaenoic acid fatty acids omega neutrophils olive oil phospholipids plant oils fatty acids omega olive oil phospholipids plant oils docosahexaenoic acids eicosapentaenoic acid,1
4527,61187,British journal of cancer,16832415,genetic nurse counsellors acceptable costeffective alternative geneticists genetic counselling evidence parallel randomised equivalence genetic nurse counsellors standard services genetic counselling services regional genetics centres grampian region north east scotland cardiff wales referred genetic counselling randomised initial genetic counselling appointment either genetic nurse counsellor intervention geneticist current service participants completed postal questionnaires immediately counselling episode later assess anxiety general status perceived satisfaction parallel economic evaluation explored influencing costeffectiveness concurrent randomised equivalence conducted analysed separately grampian intervention wales intervention returned baseline questionnaire attended appointment suggested least likely equivalence anxiety arms cost counselling episode uk pounds less nursebased grampian uk pounds nursebased cardiff costs sensitive doctor notionally replaced extent consultant supervision required nurse conclusion genetic nurse counsellors different conventional genetic services locations adolescent anxiety costbenefit genetic counseling status nurses education topic satisfaction,1
4570,61306,British journal of cancer,17895895,lactobacillus supplementation diarrhoea randomised fluorouracil fubased frequently diarrhoea fubased regimens lactobacillus fibre supplementation tolerability diagnosed randomly allocated receive monthly fu leucovorin bolus injections mayo regimen bimonthly fu bolus plus continuous infusion simplified de gramont regimen postoperative adjuvant basis random allocation participants receive lactobacillus rhamnosus gg supplementation x fibre g guar gum lactobacillus less diarrhoea reported less abdominal discomfort needed less hospital fewer reductions due bowel lactobacillusrelated detected guar gum supplementation influence tolerability simplified de gramont regimen fewer adverse mayo regimen less diarrhoea conclude lactobacillus gg supplementation well tolerated reduce frequency severe diarrhoea abdominal discomfort fubased adenocarcinoma protocols diarrhea fluorouracil galactans lactobacillus rhamnosus leucovorin mannans staging plant gums probiotics galactans mannans plant gums guar gum leucovorin fluorouracil,1
4768,62120,Bone marrow transplantation,16565742,individualized exercise program severe fatigue allogeneic hematopoietic stemcell transplant pilot chronic cancerrelated fatigue otherwise asymptomatic postallogeneic hematopoietic stem transplant hsct common debilitating pilot investigated whether psychological abnormalities severe fatigue would respond individually adapted aerobic exercise program participants eight four posthsct variety hematopoietic diagnoses underwent week individualized mild aerobic exercise program preceded week introduction baseline testing psychological measures fatigue mood depression exerciserelated physiological outcomes power output ventilatory threshold vt changes stroke volume heart lactate concentration ratings perceived exertion assessed fatigue immediately postprogram improvements found measures fatigue large size functional assessment fatigue module maintained followup period exercise testing revealed increase power output vt increase stroke volume decrease heart lactate perceived exertion preintervention vt power output depression exercise exercise fatigue hematopoietic stem transplantation lymphoma pilot projects psychiatric status rating scales transplantation homologous,1
4866,62924,Scientific reports,28102199,comparison simo decoction acupuncture chewing gum alone postoperative ileus resection ability chewing gum simo decoction smd acupuncture reduce incidence postoperative ileus poi resection undergoing open laparoscopic resection receive smd acupuncture chewing gum alone intervention starting postoperative continuing consecutive smd acupuncture experienced shorter hospital stay shorter flatus shorter defecation smd acupuncture reduce incidence poi shorten hospital stay resection contrast chewing gum appear affect recovery bowel function hospital stay though benefit undergo open resection clinicaltrialsgov registration number acupuncture chewing gum defecation drugs chinese herbal flatulence ileus laparoscopy length stay postoperative complications chewing gum drugs chinese herbal simo,1
4867,62972,Scientific reports,28436479,chinese medicine adjunct medication adjuvant treatments nonsmall aim evaluate traditional chinese medicine tcm medication adjuvant postoperative early nonsmall nsclc completely resected ib iiia cancers assigned vinorelbine plus cisplatincarboplatin npnc npnc additional tcm intervention endpoint qol scores secondary endpoints safety regimens npnc regimen caused mild nonhematologic toxic comprising vomiting fatigue dry mouth diarrhea incidence adverse events lower intervention transient severe hematological toxic occurred less often hemoglobin reduction percent bilirubin intervention nd cycle adjuvant tcm led partial relief symptoms addition reduction sideeffects adverse events caused npnc regimens protocols carboplatin nonsmallcell adjuvant cisplatin doubleblind method medicine chinese traditional vinblastine vinblastine carboplatin cisplatin,1
4869,63063,Food & function,30938383,mediterranean diet alter plasma trimethylamine noxide concentrations healthy adults colon elevated circulating level trimethylamine noxide tmao identified numerous diseases including cardiovascular cvd colon tmao formed trimethylamine tmaprecursors choline via action gut microbiota liver conducted mediterranean diet intervention intakes fiber changed intakes many foods containing fat increase relative amount monounsaturated fats diet mediterranean diet reduced risks chronic diseases might counteract proinflammatory tmao formation therefore purpose determine mediterranean diet would reduce tmao concentrations fasting tmao concentrations measured sixmonths dietary intervention healthy people colon changes plasma tmao ratios tmao precursor compounds found either mediterranean comparison followed healthy eating diet tmao concentrations exhibited correlations markers metabolic tmao concentrations circulating cytokines relative abundance akkermansia mucinophilia colon biopsies modestly inversely correlated baseline tmao choline betaine serum concentrations suggest broad dietary pattern intervention six sufficient reducing tmao concentrations otherwise healthy population disruption conversion dietary tma tmao focus future bacteria betaine choline colonic diet mediterranean fasting gastrointestinal microbiome methylamines methylamines betaine trimethyloxamine choline,1
4913,63336,Journal of general internal medicine,9734787,increasing cervical screening lowincome urban county teaching hospital cervical screening rates improved attending nonprimarycare outpatient clinics lay advisers nurse practitioner perform screening strongest greatest need screening screening rates baseline followup intervention determined followup mammography intervention usual pap smear intervention usual due screening baseline mammography intervention usual pap smear intervention usual intervention effective across insurance payer strata particularly effective native american lay advisers assessed cervical screening status offered intervention due screening appointment nurse practitioner attending appointments several nonprimarycare outpatient clinics determine would cervical screening rates lay advisers recommended screening offered convenient screening opportunity chisquare distribution community nursing community workers ethnic services accessibility hospitals teaching logistic models mammography mass screening odds ratio papanicolaou test compliance poverty surveys questionnaires urban population uterine cervical vaginal smears,1
4939,63627,Gastroenterology,30610858,interactive webbased educational tool improves detection delineation esophagusrelated neoplasia made highdefinition digital videos endoscopies born nondysplastic esophagus experts superimposed delineations born lesions videos special tools general endoscopists countries assessed batches videos batch mandatory feedback interpretations experts informed selection videos module completed new assessors countries video test batch completed scoring four video training batches mandatory feedback measures scores detection delineation agreement delineation relative delineation born linear mixedeffect model sequential improvement outcomes successive training batches phases detection rates born test batch training baseline end relative increases scores detection delineation agreement delineation relative delineation scores improved independent country origin level endoscopic experience developed webbased teaching tool endoscopic recognition born easily accessible efficient increases detection delineation neoplastic lesions widespread tool might improve management esophagus general endoscopists endoscopic detection early esophagusrelated neoplasia born challenge aimed develop webbased teaching tool improving detection delineation born barrett esophagus endoscopy esophageal adenocarcinoma born project barrett esophagus biopsy canada transformation neoplastic competence computerassisted instruction education medical continuing education medical graduate esophageal esophagoscopy esophagus europe feedback internet observer variation predictive value tests prognosis reproducibility united states video recording,1
4940,63639,Gastroenterology,31563626,chemoprevention although crc screening reduced incidence mortality crc chemoprevention strategies potential reduce crc incidence mortality chemoprevention might averagerisk well highrisk prevent crc crc chemoprevention studied include aspirin nonaspirin nonsteroidal antiinflammatory drugs statins target metabolic pathways vitamins minerals prospect chemoprevention crc preclinical human challenges future directions adenoma chemoprevention animals antiinflammatory nonsteroidal anticarcinogenic models animal approval evaluation preclinical early detection hydroxymethylglutarylcoa reductase inhibitors incidence mass screening acceptance topic united states united states food vitamins antiinflammatory nonsteroidal anticarcinogenic hydroxymethylglutarylcoa reductase inhibitors vitamins,1
5022,63960,"Breast (Edinburgh, Scotland)",14731584,physiotherapy late symptoms following surgical subjected surgical develop late sequelae area operation chest wall andor ipsilateral arm shoulder immediate surgical discomfort passed many seek accord physiotherapists considered relevant evaluate different physiotherapy regimes also wished determine whether possible relationship occurrence late sequelae physical findings carried means simple examination physiotherapeutic methods examination fiftynine postoperatively different physiotherapy regimens examined physician answered questionnaire four times within course investigation questionnaire covered six main late sequelae well degree discomfort investigation shows many experience late symptoms surgical possible demonstrate reduction strength ipsilateral extremity reduced movement muscle tone physiotherapy improve strength movement muscle tone operated extremity also reduce presence severity late symptoms,1
5030,63996,Die Rehabilitation,29801187,workrelated medical rehabilitation rehabilitation shortterm clusterrandomized multicentertrial rehabilitation programs support return work become increasingly relevant survivors germany programs established workrelated medical rehabilitation wmr investigated whether wmr leads better medical rehabilitation mr report secondary outcomes rehabilitation program completed planned intervention realized participants sd frequent diagnoses malignant participants wmr program reported better outcomes regarding smd fatigue smd coping illness smd selfreported workability smd participants mr program indicate favor wmr elevated returning work end clusters participants randomly assigned wmr mr working elevated returning work implementation assessed delivered outcomes assessed scales measuring functioning symptoms coping illness well selfreported work ability estimated mixed linear models germany rehabilitation vocational,1
5031,64018,Laryngo- rhino- otologie,30677780,intervention promote work ability head neck presence peer identification figure seems crucial importance increase recruitment numbers inclusion criteria modified participation costs reduced personally addressed four participated pilot reported intervention fit well daily expressed satisfaction emphasized importance peer head neck either receive intervention sociolegal counselling head neck elevated psychological workrelated distress intervention consists eight sessions led psychotherapist former head neck peer feasibility acceptability intervention tested means pilot session evaluated pilot participants semistructured interviews assess relevance content practicability despite distress majority head neck psychooncological counselling psychotherapeutic support additionally head neck returning work therefore developed intervention program aims improving work ability head neck well selfefficacy psychological wellbeing head neck work capacity evaluation,1
